case_name,docket_number,date_filed,court,payment_found,payment_amount,outcome,url,year,marked,plaintiff,defendant,plaintiff_size,defendant_size
"Implicit, LLC v. Sonos, Inc. (Fed. Cir. 2026)",20-1173,2026-03-09,Court of Appeals for the Federal Circuit,0,0.0,1.0,https://www.courtlistener.com/opinion/10805668/implicit-llc-v-sonos-inc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2,2026,1,"Implicit, LLC","Sonos, Inc.",5.0,6.0
"Magnolia Medical Technologies, Inc. v. Kurin, Inc. (Fed. Cir. 2026)",24-2001,2026-03-06,Court of Appeals for the Federal Circuit,0,0.0,0.0,https://www.courtlistener.com/opinion/10804848/magnolia-medical-technologies-inc-v-kurin-inc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2,2026,1,"Magnolia Medical Technologies, Inc.","Kurin, Inc.",5.0,5.0
Gurvey v. Vidal (D.D.C. 2026),Civil Action No. 2023-3549,2026-03-06,"District Court, District of Columbia",0,0.0,0.0,https://www.courtlistener.com/opinion/10804980/gurvey-v-vidal/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2,2026,1,Gurvey,Vidal,1.0,1.0
Exafer Ltd v. Microsoft Corporation (Fed. Cir. 2026),24-2296,2026-03-06,Court of Appeals for the Federal Circuit,1,534300000.0,0.0,https://www.courtlistener.com/opinion/10804849/exafer-ltd-v-microsoft-corporation/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2,2026,1,Exafer Ltd,Microsoft Corporation,5.0,9.0
"Burnley, D. v. Loews Hotel (Pa. Super. Ct. 2026)",370 EDA 2023,2026-03-05,Superior Court of Pennsylvania,1,2700000.0,1.0,https://www.courtlistener.com/opinion/10804406/burnley-d-v-loews-hotel/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2,2026,1,"Burnley, D.",Loews Hotel,1.0,1.0
"Duffy, D. v. Tatum, R. (Pa. Super. Ct. 2026)",483 EDA 2025,2026-03-03,Superior Court of Pennsylvania,0,0.0,1.0,https://www.courtlistener.com/opinion/10803138/duffy-d-v-tatum-r/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2,2026,1,"Duffy, D.","Tatum, R.",1.0,1.0
"ISense Medical Corp. v. BioMérieux, Inc. and Specific Diagnostics, LLC (Del. 2026)","33, 2026",2026-03-03,Supreme Court of Delaware,0,0.0,,https://www.courtlistener.com/opinion/10803605/isense-medical-corp-v-biomerieux-inc-and-specific-diagnostics-llc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2,2026,1,ISense Medical Corp.,"BioMérieux, Inc. and Specific Diagnostics, LLC",5.0,5.0
Global Tubing LLC v. Tenaris Coiled Tubes LLC (Fed. Cir. 2026),23-1882,2026-02-26,Court of Appeals for the Federal Circuit,0,0.0,1.0,https://www.courtlistener.com/opinion/10800815/global-tubing-llc-v-tenaris-coiled-tubes-llc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2,2026,1,Global Tubing LLC,Tenaris Coiled Tubes LLC,5.0,5.0
"E-NUMERATE SOLUTIONS, INC. v. United States (Fed. Cl. 2026)",19-859,2026-02-26,United States Court of Federal Claims,0,0.0,1.0,https://www.courtlistener.com/opinion/10801570/e-numerate-solutions-inc-v-united-states/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2,2026,1,"E-NUMERATE SOLUTIONS, INC.",United States,5.0,1.0
State of Louisiana v. Ja'Kaylin Rashard Smith (La. Ct. App. 2026),"56,721-KA",2026-02-25,Louisiana Court of Appeal,0,0.0,1.0,https://www.courtlistener.com/opinion/10800478/state-of-louisiana-v-jakaylin-rashard-smith/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2,2026,1,State of Louisiana,Ja'Kaylin Rashard Smith,1.0,1.0
