case_name,docket_number,date_filed,court,payment_found,payment_amount,outcome,url,year
Vlsi Technology LLC v. Intel Corporation (Fed. Cir. 2026),24-1772,2026-04-14,Court of Appeals for the Federal Circuit,0,0.0,0.0,https://www.courtlistener.com/opinion/10842429/vlsi-technology-llc-v-intel-corporation/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=1,2026
Johnson & Johnson v. Samsung Bioepis Co Ltd (3rd Cir. 2026),25-1831,2026-04-14,Court of Appeals for the Third Circuit,0,0.0,,https://www.courtlistener.com/opinion/10842605/johnson-johnson-v-samsung-bioepis-co-ltd/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=1,2026
In Re Non-Party Deposition Subpoena (D.D.C. 2026),Misc. No. 2026-0018,2026-04-09,"District Court, District of Columbia",0,0.0,1.0,https://www.courtlistener.com/opinion/10840434/in-re-non-party-deposition-subpoena/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=1,2026
San Carlos Apache Tribe v. United States Forest Service (9th Cir. 2026),25-5189,2026-04-08,Court of Appeals for the Ninth Circuit,1,100.0,1.0,https://www.courtlistener.com/opinion/10839352/san-carlos-apache-tribe-v-united-states-forest-service/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=1,2026
"Ironsource Ltd. v. Digital Turbine, Inc. (Fed. Cir. 2026)",24-1831,2026-04-07,Court of Appeals for the Federal Circuit,0,0.0,,https://www.courtlistener.com/opinion/10838691/ironsource-ltd-v-digital-turbine-inc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=1,2026
"LG Electronics Inc. v. Invention Investment Fund I, L.P. (Del. 2026)","243, 2025",2026-04-07,Supreme Court of Delaware,1,12800000.0,1.0,https://www.courtlistener.com/opinion/10838907/lg-electronics-inc-v-invention-investment-fund-i-lp/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=1,2026
"Fortress Iron, Lp v. Digger Specialties, Inc. (Fed. Cir. 2026)",24-2313,2026-04-02,Court of Appeals for the Federal Circuit,0,0.0,1.0,https://www.courtlistener.com/opinion/10831830/fortress-iron-lp-v-digger-specialties-inc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=1,2026
Eric Smith v. SEC (6th Cir. 2026),24-3907,2026-03-27,Court of Appeals for the Sixth Circuit,0,0.0,1.0,https://www.courtlistener.com/opinion/10827457/eric-smith-v-sec/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=1,2026
"Cox Communications, Inc. v. Sony Music Entertainment (2026)",24-171,2026-03-25,Supreme Court of the United States,1,1000000000.0,1.0,https://www.courtlistener.com/opinion/10814782/cox-communications-inc-v-sony-music-entertainment/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=1,2026
"Talley v. Earth Fare 2020, Inc. (N.C. 2026)",174A25,2026-03-20,Supreme Court of North Carolina,0,0.0,1.0,https://www.courtlistener.com/opinion/10811789/talley-v-earth-fare-2020-inc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=1,2026
Intuit v. FTC (5th Cir. 2026),24-60040,2026-03-20,Court of Appeals for the Fifth Circuit,0,0.0,1.0,https://www.courtlistener.com/opinion/10812852/intuit-v-ftc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2,2026
OLoughlin v. AESA Enterprises (Utah Ct. App. 2026),Case No. 20231088-CA,2026-03-19,Court of Appeals of Utah,1,409100.0,1.0,https://www.courtlistener.com/opinion/10812390/oloughlin-v-aesa-enterprises/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2,2026
Apple Inc. v. Itc (Fed. Cir. 2026),24-1285,2026-03-19,Court of Appeals for the Federal Circuit,0,0.0,1.0,https://www.courtlistener.com/opinion/10811193/apple-inc-v-itc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2,2026
Trustees of Columbia University v. Gen Digital Inc. (Fed. Cir. 2026),24-1244,2026-03-11,Court of Appeals for the Federal Circuit,0,0.0,0.0,https://www.courtlistener.com/opinion/10807007/trustees-of-columbia-university-v-gen-digital-inc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2,2026
"MKE Holdings, Ltd. and David W. Bergevin v. Kevin Schwartz (Del. Ch. 2026)",C.A. No. 2018-0729-BWD,2026-03-11,Court of Chancery of Delaware,1,98800000.0,,https://www.courtlistener.com/opinion/10807293/mke-holdings-ltd-and-david-w-bergevin-v-kevin-schwartz/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2,2026
Trustees of Columbia University v. Gen Digital Inc. (Fed. Cir. 2026),24-1243,2026-03-11,Court of Appeals for the Federal Circuit,1,185112727.0,0.0,https://www.courtlistener.com/opinion/10807008/trustees-of-columbia-university-v-gen-digital-inc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2,2026
Wahpekeche v. Pettigrew (10th Cir. 2026),23-6176,2026-03-11,Court of Appeals for the Tenth Circuit,0,0.0,,https://www.courtlistener.com/opinion/10807128/wahpekeche-v-pettigrew/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2,2026
Ronald W. Hein and Linda M. Hein v. Steven Paul Carlson and Paulette Joan Carlson; and Clarence Lee Daniels and Mary Jo Daniels (Wyo. 2026),S-25-0168,2026-03-10,Wyoming Supreme Court,0,0.0,1.0,https://www.courtlistener.com/opinion/10806577/ronald-w-hein-and-linda-m-hein-v-steven-paul-carlson-and-paulette-joan/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2,2026
"Implicit, LLC v. Sonos, Inc. (Fed. Cir. 2026)",20-1173,2026-03-09,Court of Appeals for the Federal Circuit,0,0.0,1.0,https://www.courtlistener.com/opinion/10805668/implicit-llc-v-sonos-inc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2,2026
"Magnolia Medical Technologies, Inc. v. Kurin, Inc. (Fed. Cir. 2026)",24-2001,2026-03-06,Court of Appeals for the Federal Circuit,0,0.0,0.0,https://www.courtlistener.com/opinion/10804848/magnolia-medical-technologies-inc-v-kurin-inc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2,2026
Gurvey v. Vidal (D.D.C. 2026),Civil Action No. 2023-3549,2026-03-06,"District Court, District of Columbia",0,0.0,0.0,https://www.courtlistener.com/opinion/10804980/gurvey-v-vidal/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2,2026
Exafer Ltd v. Microsoft Corporation (Fed. Cir. 2026),24-2296,2026-03-06,Court of Appeals for the Federal Circuit,1,534300000.0,0.0,https://www.courtlistener.com/opinion/10804849/exafer-ltd-v-microsoft-corporation/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2,2026
"Burnley, D. v. Loews Hotel (Pa. Super. Ct. 2026)",370 EDA 2023,2026-03-05,Superior Court of Pennsylvania,1,2700000.0,1.0,https://www.courtlistener.com/opinion/10804406/burnley-d-v-loews-hotel/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2,2026
"Duffy, D. v. Tatum, R. (Pa. Super. Ct. 2026)",483 EDA 2025,2026-03-03,Superior Court of Pennsylvania,0,0.0,1.0,https://www.courtlistener.com/opinion/10803138/duffy-d-v-tatum-r/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2,2026
"ISense Medical Corp. v. BioMérieux, Inc. and Specific Diagnostics, LLC (Del. 2026)","33, 2026",2026-03-03,Supreme Court of Delaware,0,0.0,,https://www.courtlistener.com/opinion/10803605/isense-medical-corp-v-biomerieux-inc-and-specific-diagnostics-llc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2,2026
Global Tubing LLC v. Tenaris Coiled Tubes LLC (Fed. Cir. 2026),23-1882,2026-02-26,Court of Appeals for the Federal Circuit,0,0.0,1.0,https://www.courtlistener.com/opinion/10800815/global-tubing-llc-v-tenaris-coiled-tubes-llc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2,2026
"E-NUMERATE SOLUTIONS, INC. v. United States (Fed. Cl. 2026)",19-859,2026-02-26,United States Court of Federal Claims,0,0.0,1.0,https://www.courtlistener.com/opinion/10801570/e-numerate-solutions-inc-v-united-states/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2,2026
State of Louisiana v. Ja'Kaylin Rashard Smith (La. Ct. App. 2026),"56,721-KA",2026-02-25,Louisiana Court of Appeal,0,0.0,1.0,https://www.courtlistener.com/opinion/10800478/state-of-louisiana-v-jakaylin-rashard-smith/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2,2026
"Joanne Grafton and Billy Grafton, Individually and on Behalf of the Estate of Shelly Grafton v. Elizabeth Hammond Edwards (La. Ct. App. 2026)","56,785-CA",2026-02-25,Louisiana Court of Appeal,0,0.0,1.0,https://www.courtlistener.com/opinion/10800484/joanne-grafton-and-billy-grafton-individually-and-on-behalf-of-the-estate/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2,2026
"Learning Resources, Inc. v. Trump (2026)",24-1287,2026-02-20,Supreme Court of the United States,0,0.0,1.0,https://www.courtlistener.com/opinion/10796821/learning-resources-inc-v-trump/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2,2026
"Learning Resources, Inc. v. Trump Revisions: 2/23/26 (2026)",24-1287,2026-02-20,Supreme Court of the United States,0,0.0,1.0,https://www.courtlistener.com/opinion/10799354/learning-resources-inc-v-trump-revisions-22326/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3,2026
"Willis Electric Co., Ltd. v. Polygroup Ltd. (Macao Commercial Offshore) (Fed. Cir. 2026)",24-2118,2026-02-17,Court of Appeals for the Federal Circuit,1,42494772.0,1.0,https://www.courtlistener.com/opinion/10794865/willis-electric-co-ltd-v-polygroup-ltd-macao-commercial-offshore/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3,2026
Apple Inc. v. Squires (Fed. Cir. 2026),24-1864,2026-02-13,Court of Appeals for the Federal Circuit,0,0.0,1.0,https://www.courtlistener.com/opinion/10793150/apple-inc-v-squires/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3,2026
"Netflix, Inc. v. Divx, LLC (Fed. Cir. 2026)",24-1541,2026-02-13,Court of Appeals for the Federal Circuit,0,0.0,0.0,https://www.courtlistener.com/opinion/10793146/netflix-inc-v-divx-llc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3,2026
Ingevity Corporation v. Basf Corporation (Fed. Cir. 2026),24-1577,2026-02-11,Court of Appeals for the Federal Circuit,1,28285714.0,1.0,https://www.courtlistener.com/opinion/10787098/ingevity-corporation-v-basf-corporation/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3,2026
"Gotv Streaming, LLC v. Netflix, Inc. (Fed. Cir. 2026)",24-1669,2026-02-09,Court of Appeals for the Federal Circuit,1,2500000.0,0.0,https://www.courtlistener.com/opinion/10786007/gotv-streaming-llc-v-netflix-inc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3,2026
"Cove Funding, LP and Its Subsidiary HPS Admin, LLC v. Marcy Barba and Jorge Barba (Tex. App.-Austin 2026)",03-25-00233-CV,2026-02-03,"Texas Court of Appeals, 3rd District (Austin)",0,0.0,1.0,https://www.courtlistener.com/opinion/10786245/cove-funding-lp-and-its-subsidiary-hps-admin-llc-v-marcy-barba-and-jorge/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3,2026
"Range of Motion Products, LLC v. Armaid Company Inc. (Fed. Cir. 2026)",23-2427,2026-02-02,Court of Appeals for the Federal Circuit,0,0.0,0.0,https://www.courtlistener.com/opinion/10782671/range-of-motion-products-llc-v-armaid-company-inc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3,2026
"BlueRadios, Inc. v. Hamilton, Brook, Smith & Reynolds, P.C. (1st Cir. 2026)",24-1942,2026-02-02,Court of Appeals for the First Circuit,0,0.0,1.0,https://www.courtlistener.com/opinion/10782978/blueradios-inc-v-hamilton-brook-smith-reynolds-pc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3,2026
In re: Application to Settle Boundaries of the Land of Kahuku (Haw. App. 2026),CAAP-23-0000305,2026-01-30,Hawaii Intermediate Court of Appeals,0,0.0,1.0,https://www.courtlistener.com/opinion/10781934/in-re-application-to-settle-boundaries-of-the-land-of-kahuku/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3,2026
Curonix LLC v. Laura Tyler Perryman (Del. Ch. 2026),C.A. No. 2019-1003-BWD,2026-01-30,Court of Chancery of Delaware,0,0.0,,https://www.courtlistener.com/opinion/10781968/curonix-llc-v-laura-tyler-perryman/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3,2026
"JoAnn Chase v. Andeavor Logistics, L.P. (8th Cir. 2026)",23-3019,2026-01-30,Court of Appeals for the Eighth Circuit,1,2000000.0,1.0,https://www.courtlistener.com/opinion/10781861/joann-chase-v-andeavor-logistics-lp/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3,2026
"Sound View Innovations, LLC v. Hulu, LLC (Fed. Cir. 2026)",24-1092,2026-01-29,Court of Appeals for the Federal Circuit,0,0.0,0.0,https://www.courtlistener.com/opinion/10781246/sound-view-innovations-llc-v-hulu-llc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3,2026
"US Patent No. 7,679,637 LLC v. Google LLC (Fed. Cir. 2026)",24-1520,2026-01-22,Court of Appeals for the Federal Circuit,0,0.0,1.0,https://www.courtlistener.com/opinion/10777951/us-patent-no-7679637-llc-v-google-llc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3,2026
Trinseo v. Harper (5th Cir. 2026),24-20460,2026-01-21,Court of Appeals for the Fifth Circuit,1,75000000.0,1.0,https://www.courtlistener.com/opinion/10777664/trinseo-v-harper/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3,2026
Rebekah Hillman v. Toro Company (7th Cir. 2026),24-2865,2026-01-21,Court of Appeals for the Seventh Circuit,0,0.0,,https://www.courtlistener.com/opinion/10777417/rebekah-hillman-v-toro-company/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3,2026
Barry v. Depuy Synthes Companies (Fed. Cir. 2026),23-2226,2026-01-20,Court of Appeals for the Federal Circuit,0,0.0,0.0,https://www.courtlistener.com/opinion/10776707/barry-v-depuy-synthes-companies/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3,2026
"Clemente Properties, Inc. v. Pierluisi-Urrutia (1st Cir. 2026)",23-1922,2026-01-16,Court of Appeals for the First Circuit,1,21.0,1.0,https://www.courtlistener.com/opinion/10775535/clemente-properties-inc-v-pierluisi-urrutia/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3,2026
"CHP III, L.P. v. Benjamin F. Cravatt (Del. Ch. 2026)",C.A. No. 2024-0867-KSJM,2026-01-15,Court of Chancery of Delaware,0,0.0,,https://www.courtlistener.com/opinion/10774832/chp-iii-lp-v-benjamin-f-cravatt/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3,2026
"U.S. Inventor, Inc. v. United States Patent and Trademark Office (D.D.C. 2026)",Civil Action No. 2023-3639,2026-01-14,"District Court, District of Columbia",1,10000.0,1.0,https://www.courtlistener.com/opinion/10774386/us-inventor-inc-v-united-states-patent-and-trademark-office/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3,2026
Johnson & Johnson v. Fortis Advisors LLC (Del. 2026),"490, 2024",2026-01-12,Supreme Court of Delaware,1,1000000000.0,1.0,https://www.courtlistener.com/opinion/10773365/johnson-johnson-v-fortis-advisors-llc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4,2026
"Crocs, Inc. v. Itc (Fed. Cir. 2026)",24-1300,2026-01-08,Court of Appeals for the Federal Circuit,0,0.0,1.0,https://www.courtlistener.com/opinion/10771002/crocs-inc-v-itc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4,2026
"Alivecor, Inc. v. Apple Inc. (9th Cir. 2026)",24-1392,2026-01-08,Court of Appeals for the Ninth Circuit,0,0.0,1.0,https://www.courtlistener.com/opinion/10771071/alivecor-inc-v-apple-inc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4,2026
In re A.G. (Ohio Ct. App. 2026),"31490, 31491, 31492, 31493, 31494, 31495, 31521, 31522, 31523, 31524, 31525, 31526",2026-01-07,Ohio Court of Appeals,0,0.0,1.0,https://www.courtlistener.com/opinion/10770440/in-re-ag/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4,2026
"Keystone Cooperative, Inc. v. Brock Fraschet. al (Ind. Ct. App. 2025)",25A-CE-01212,2025-12-31,Indiana Court of Appeals,0,0.0,1.0,https://www.courtlistener.com/opinion/10767350/keystone-cooperative-inc-v-brock-fraschet-al/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4,2025
"Ethanol Boosting Systems, LLC v. Ford Motor Company (Fed. Cir. 2025)",24-1381,2025-12-23,Court of Appeals for the Federal Circuit,0,0.0,0.0,https://www.courtlistener.com/opinion/10763818/ethanol-boosting-systems-llc-v-ford-motor-company/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4,2025
"Robert F. Moran v. Unation, Inc., a Delaware corporation (Del. Ch. 2025)",C.A. No. 2025-0718-CDW,2025-12-22,Court of Chancery of Delaware,0,0.0,1.0,https://www.courtlistener.com/opinion/10763338/robert-f-moran-v-unation-inc-a-delaware-corporation/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4,2025
"Peter J. Trematerra v. The Affinity Project, Inc. (Del. Ch. 2025)",C.A. No. 2025-0896-DH,2025-12-22,Court of Chancery of Delaware,1,10000000000.0,,https://www.courtlistener.com/opinion/10763339/peter-j-trematerra-v-the-affinity-project-inc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4,2025
Flavia Pichiorri v. Arthur Burghes (6th Cir. 2025),24-3918,2025-12-19,Court of Appeals for the Sixth Circuit,0,0.0,,https://www.courtlistener.com/opinion/10761978/flavia-pichiorri-v-arthur-burghes/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4,2025
Micron Technology Inc. v. Longhorn Ip LLC (Fed. Cir. 2025),23-2007,2025-12-18,Court of Appeals for the Federal Circuit,0,0.0,,https://www.courtlistener.com/opinion/10760762/micron-technology-inc-v-longhorn-ip-llc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4,2025
"Wonderland Switzerland Ag v. Evenflo Company, Inc. (Fed. Cir. 2025)",23-2043,2025-12-17,Court of Appeals for the Federal Circuit,0,0.0,1.0,https://www.courtlistener.com/opinion/10759844/wonderland-switzerland-ag-v-evenflo-company-inc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4,2025
Coda Development S.R.O. v. Goodyear Tire & Rubber Company (Fed. Cir. 2025),23-1880,2025-12-08,Court of Appeals for the Federal Circuit,1,2800000.0,1.0,https://www.courtlistener.com/opinion/10749110/coda-development-sro-v-goodyear-tire-rubber-company/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4,2025
"ATP III GP, Ltd v. Rigmora Biotech Investor One LP (Del. Ch. 2025)",C.A. No. 2025-0607-KSJM,2025-12-05,Court of Chancery of Delaware,1,1000000000.0,,https://www.courtlistener.com/opinion/10748438/atp-iii-gp-ltd-v-rigmora-biotech-investor-one-lp/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4,2025
"Seagen Inc. v. Daiichi Sankyo Company, Ltd. (Fed. Cir. 2025)",23-2424,2025-12-02,Court of Appeals for the Federal Circuit,1,41000000.0,0.0,https://www.courtlistener.com/opinion/10745867/seagen-inc-v-daiichi-sankyo-company-ltd/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4,2025
"United States v. Julien Giraud, Jr. (3rd Cir. 2025)",25-2635,2025-12-01,Court of Appeals for the Third Circuit,0,0.0,,https://www.courtlistener.com/opinion/10745263/united-states-v-julien-giraud-jr/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4,2025
"In Re GESTURE TECHNOLOGY PARTNERS, LLC (Fed. Cir. 2025)",25-1075,2025-12-01,Court of Appeals for the Federal Circuit,0,0.0,1.0,https://www.courtlistener.com/opinion/10745188/in-re-gesture-technology-partners-llc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4,2025
Michael Waller v. Kansas City Southern Railway Company (La. Ct. App. 2025),"56,527-CA",2025-11-26,Louisiana Court of Appeal,1,5380665.06,1.0,https://www.courtlistener.com/opinion/10742755/michael-waller-v-kansas-city-southern-railway-company/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4,2025
"Akamai Technologies, Inc. v. Mediapointe, Inc. (Fed. Cir. 2025)",24-1571,2025-11-25,Court of Appeals for the Federal Circuit,0,0.0,1.0,https://www.courtlistener.com/opinion/10741970/akamai-technologies-inc-v-mediapointe-inc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4,2025
People of Michigan v. Walter Joseph Caswell (Mich. Ct. App. 2025),368232,2025-11-24,Michigan Court of Appeals,0,0.0,1.0,https://www.courtlistener.com/opinion/10752231/people-of-michigan-v-walter-joseph-caswell/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4,2025
Marriage of Strong (Cal. Ct. App. 2025),B345843,2025-11-24,California Court of Appeal,0,0.0,1.0,https://www.courtlistener.com/opinion/10741585/marriage-of-strong/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4,2025
Daniel J. Stermer v. Old Republic National Title Insurance Company (11th Cir. 2025),23-10850,2025-11-24,Court of Appeals for the Eleventh Circuit,1,1.0,,https://www.courtlistener.com/opinion/10741453/daniel-j-stermer-v-old-republic-national-title-insurance-company/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=5,2025
"Teva Pharmaceuticals USA, Inc. v. Becerra (D.D.C. 2025)",Civil Action No. 2025-0113,2025-11-20,"District Court, District of Columbia",0,0.0,,https://www.courtlistener.com/opinion/10739938/teva-pharmaceuticals-usa-inc-v-becerra/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=5,2025
Frank Giordano v. Andrews Hohns (3rd Cir. 2025),24-1305,2025-11-18,Court of Appeals for the Third Circuit,0,0.0,1.0,https://www.courtlistener.com/opinion/10738113/frank-giordano-v-andrews-hohns/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=5,2025
Duke University v. Sandoz Inc. (Fed. Cir. 2025),24-1078,2025-11-18,Court of Appeals for the Federal Circuit,1,39000000.0,0.0,https://www.courtlistener.com/opinion/10737955/duke-university-v-sandoz-inc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=5,2025
"Smartrend Manufacturing Group (Smg), Inc. v. Opti-Luxx Inc. (Fed. Cir. 2025)",24-1616,2025-11-13,Court of Appeals for the Federal Circuit,0,0.0,,https://www.courtlistener.com/opinion/10735714/smartrend-manufacturing-group-smg-inc-v-opti-luxx-inc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=5,2025
"Mission Integrated Technologies, LLC v. Joshua Clemente (4th Cir. 2025)",24-1932,2025-11-12,Court of Appeals for the Fourth Circuit,1,356097.6,1.0,https://www.courtlistener.com/opinion/10735979/mission-integrated-technologies-llc-v-joshua-clemente/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=5,2025
