case_name,docket_number,date_filed,court,payment_found,payment_amount,outcome,url,year
"United States v. Siemens America, Inc. (C.C.P.A. 1981)",C.A.D. 1266; Appeal No. 80-33; Appeal No. 80-35,1981-06-25,Court of Customs and Patent Appeals,0,0.0,,https://www.courtlistener.com/opinion/6928132/united-states-v-siemens-america-inc/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=14,1981
"H.L. Hayden Co. v. Siemens Medical Systems, Inc. (S.D.N.Y. 1987)",84 Civ. 0306 (GLG),1987-10-09,"District Court, S.D. New York",0,0.0,1.0,https://www.courtlistener.com/opinion/2091576/hl-hayden-co-v-siemens-medical-systems-inc/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=14,1987
"Baker v. Siemens-Allis, Inc. (La. Ct. App. 1980)",No. 10894,1980-10-09,Louisiana Court of Appeal,1,7785.86,,https://www.courtlistener.com/opinion/7577561/baker-v-siemens-allis-inc/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=14,1980
"Howard Industries, Inc., Siemens Industry, Inc. A/K/A Siemens Energy & Automation, Inc., HD Supply Electrical, LTD., A/K/A HD Supply, Inc., a & H Electric Co., LLC F/K/A a & H Electric Co., a & H Electric Company, LLC and a & H Electric Company v. Crown Cork & Seal Company, LLC (Tex. App.-Houston [1st Dist.] 2013)",01-12-00458-CV,2013-01-24,"Texas Court of Appeals, 1st District (Houston)",1,95909.74,,https://www.courtlistener.com/opinion/3119758/howard-industries-inc-siemens-industry-inc-aka-siemens-energy/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=14,2013
"H.L. Hayden Co. v. Siemens Medical Sys., Inc. (S.D.N.Y. 1985)",No. 84 Civ. 0306 (GLG),1985-12-13,"District Court, S.D. New York",1,748.01,,https://www.courtlistener.com/opinion/9027898/hl-hayden-co-v-siemens-medical-sys-inc/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=15,1985
"Siemens America, Inc. v. The United States (Fed. Cir. 1982)",Appeal 82-12,1982-11-12,Court of Appeals for the Federal Circuit,0,0.0,1.0,https://www.courtlistener.com/opinion/410998/siemens-america-inc-v-the-united-states/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=15,1982
"H.L. Hayden Co. v. Siemens Medical Systems., Inc. (S.D.N.Y. 1985)",84 Civ. 0306 (GLG),1985-07-09,"District Court, S.D. New York",0,0.0,1.0,https://www.courtlistener.com/opinion/9027690/hl-hayden-co-v-siemens-medical-systems-inc/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=15,1985
"Albingia Versicherungs A.G., a Foreign Corporation Siemens Components Pte. Ltd., a Foreign Corporation v. Schenker International Inc., a Corporation (9th Cir. 2003)",01-16558,2003-12-03,Court of Appeals for the Ninth Circuit,0,0.0,1.0,https://www.courtlistener.com/opinion/783671/albingia-versicherungs-ag-a-foreign-corporation-siemens-components-pte/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=15,2003
"University General Hospital, L.P., University Hospital Systems, LLP, Charo Barnette, in Her Capacity as Independent of the Estate of Guy Barnette, and John E. Udeh v. Siemens Medical Solutions USA, Inc. (Tex. App.-Houston [1st Dist.] 2017)",01-14-00678-CV,2017-05-09,"Texas Court of Appeals, 1st District (Houston)",1,1313409.76,,https://www.courtlistener.com/opinion/4389789/university-general-hospital-lp-university-hospital-systems-llp-charo/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=15,2017
"Clyde Electrical & Mechanical, Inc., A/K/A and D/B/A Clyde Electrical & Mechanical v. Siemens Building Technologies, Inc. (Tex. App.-Houston [1st Dist.] 2007)",01-06-00525-CV,2007-01-11,"Texas Court of Appeals, 1st District (Houston)",0,0.0,,https://www.courtlistener.com/opinion/2840893/clyde-electrical-mechanical-inc-aka-and-dba-clyde-/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=15,2007
"H.L. Hayden Co. of New York v. Siemens Medical Systems, Inc. (2d Cir. 1989)","Nos. 1239, 1297 and 1298, Dockets 88-7109, 88-7113 and 88-7127",1989-06-12,Court of Appeals for the Second Circuit,0,0.0,1.0,https://www.courtlistener.com/opinion/8980191/hl-hayden-co-of-new-york-v-siemens-medical-systems-inc/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=15,1989
"Albingia Versicherungs A.G., a Foreign Corporation Siemens Components Pte. Ltd., a Foreign Corporation v. Schenker International Inc., a Corporation (9th Cir. 2003)",01-16558,2003-12-03,Court of Appeals for the Ninth Circuit,0,0.0,,https://www.courtlistener.com/opinion/784314/albingia-versicherungs-ag-a-foreign-corporation-siemens-components-pte/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=15,2003
"H.L. Hayden Co. of New York, Inc. v. Siemens Medical Systems, Inc. (S.D.N.Y. 1989)",No. 84 Civ. 0306 (GLG),1989-12-27,"District Court, S.D. New York",0,0.0,,https://www.courtlistener.com/opinion/9036915/hl-hayden-co-of-new-york-inc-v-siemens-medical-systems-inc/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=15,1989
"H.L. Hayden Co. Of New York, Inc. v. Siemens Medical Systems, Inc. (2d Cir. 1989)",1297,1989-06-12,Court of Appeals for the Second Circuit,0,0.0,1.0,https://www.courtlistener.com/opinion/526441/hl-hayden-co-of-new-york-inc-v-siemens-medical-systems-inc/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=15,1989
Kabasan v. Kabasan (N.C. Ct. App. 2018),COA17-254,2018-01-16,Court of Appeals of North Carolina,1,1923.14,1.0,https://www.courtlistener.com/opinion/4459473/kabasan-v-kabasan/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=15,2018
Siemens Aktiengesellschaft v. Beltone Electronics Corp. (N.D. Ill. 1974),73 C 296,1974-09-12,"District Court, N.D. Illinois",1,3265141.99,,https://www.courtlistener.com/opinion/2005642/siemens-aktiengesellschaft-v-beltone-electronics-corp/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=15,1974
"University General Hospital, LP University Hospital Systems, LLP Charo Barnette, in Her Capacity as Independent of the Estate of Guy Barnette, And John E. Udeh v. Siemens Medical Solutions USA, Inc. (Tex. App.-Houston [1st Dist.] 2013)",01-12-00174-CV,2013-02-28,"Texas Court of Appeals, 1st District (Houston)",1,7600915.62,1.0,https://www.courtlistener.com/opinion/3119271/university-general-hospital-lp-university-hospital-systems-llp-charo/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=15,2013
Siemens Aktiengesellschaft v. Beltone Electronics Corp. (N.D. Ill. 1975),73 C 296,1975-11-13,"District Court, N.D. Illinois",1,23038671.93,,https://www.courtlistener.com/opinion/2281482/siemens-aktiengesellschaft-v-beltone-electronics-corp/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=15,1975
Pri Tel. Tech Corp. v. Siemens Com. Sys. Inc (2d Cir. 1984),83-9002,1984-02-14,Court of Appeals for the Second Circuit,0,0.0,1.0,https://www.courtlistener.com/opinion/440918/pri-tel-tech-corp-v-siemens-com-sys-inc/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=15,1984
"University General Hospital, L.P., University Hospital Systems, LLP, Charo Barnette, in Her Capacity as Independent of the Estate of Guy Barnette, and John E. Udeh v. Siemens Medical Solutions USA, Inc. (Tex. App.-Houston [1st Dist.] 2015)",01-14-00678-CV,2015-03-03,"Texas Court of Appeals, 1st District (Houston)",0,0.0,,https://www.courtlistener.com/opinion/4275678/university-general-hospital-lp-university-hospital-systems-llp-charo/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=15,2015
Lund v. Lund (N.C. Ct. App. 2015),15-175,2015-12-01,Court of Appeals of North Carolina,1,27142.19,1.0,https://www.courtlistener.com/opinion/3158875/lund-v-lund/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=15,2015
"Dxs, Inc., a Michigan Corporation, F/k/a Flint X-Ray, Inc. v. Siemens Medical Systems, Inc., a Foreign Corporation (6th Cir. 1996)",94-1763,1996-11-15,Court of Appeals for the Sixth Circuit,0,0.0,1.0,https://www.courtlistener.com/opinion/729712/dxs-inc-a-michigan-corporation-fka-flint-x-ray-inc-v-siemens/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=15,1996
Siemens Aktiengesellschaft v. Sonotone Corporation (N.D. Ill. 1973),73 C 296,1973-07-18,"District Court, N.D. Illinois",0,0.0,,https://www.courtlistener.com/opinion/1801416/siemens-aktiengesellschaft-v-sonotone-corporation/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=15,1973
